Month,Local MAAR,State MNAR,National NAR,National Advert,Dues Subtotal,App Fee MAAR,App Fee MNAR,Total
Nov 2013,$175.00,$151.25,$140.00,$70.00,$536.25,$50.00,$100.00,$686.25
Dec 2013,$162.50,$137.50,$130.00,$70.00,$500.00,$100.00,$100.00,$700.00
Jan 2014,$150.00,$123.75,$120.00,$35.00,$428.75,$100.00,$50.00,$578.75
Feb 2014,$137.50,$110.00,$110.00,$35.00,$392.50,$100.00,$50.00,$542.50
Mar 2014,$125.00,$96.25,$100.00,$35.00,$356.25,$100.00,$50.00,$506.25
Apr 2014,$112.50,$82.50,$90.00,$35.00,$320.00,$100.00,$50.00,$470.00
May 2014,$100.00,$68.75,$80.00,$35.00,$283.75,$100.00,$50.00,$433.75
Jun 2014,$87.50,$55.00,$70.00,$35.00,$247.50,$100.00,$50.00,$397.50
Jul 2014,$75.00,$41.25,$60.00,$35.00,$211.25,$100.00,$50.00,$361.25
Aug 2014,$62.50,$27.50,$50.00,$35.00,$175.00,$100.00,$50.00,$325.00
Sep 2014,$50.00,$13.75,$40.00,$35.00,$138.75,$100.00,$50.00,$288.75
Oct 2014,$37.50,$0.00,$30.00,$35.00,$102.50,$100.00,$50.00,$252.50
